993;2017;1;1;2;1;41;1;3;24;40311;28000
993;2017;2;0;2;1;10;0;0;-1;-1;0
993;2017;3;0;2;1;6;0;0;-1;-1;0
229;2017;1;0;2;1;56;1;3;32;10333;20000
229;2017;2;0;2;1;49;1;3;32;20333;38000
229;2017;3;0;2;1;21;1;3;32;10333;16000
229;2017;4;0;2;2;18;0;0;-1;-1;0
229;2017;5;0;2;1;11;0;0;-1;-1;0
229;2017;6;0;2;1;9;0;0;-1;-1;0
994;2017;1;0;2;2;60;1;3;25;57313;10000
400;2017;1;0;2;2;44;1;3;45;92332;20000
400;2017;2;0;2;1;42;0;0;-1;-1;0
400;2017;3;0;2;1;17;0;0;-1;-1;0
400;2017;4;0;2;1;17;0;0;-1;-1;0
995;2017;1;0;2;1;27;1;3;11;50311;3000
995;2017;2;0;2;2;26;1;2;0;41112;1400
919;2017;1;0;2;1;70;0;0;-1;-1;0
919;2017;2;0;2;1;56;1;2;20;80123;3000
919;2017;3;0;2;1;23;0;0;-1;-1;0
262;2017;1;0;2;1;47;1;1;45;7001;20000
996;2017;1;1;2;1;65;1;2;35;40111;-1
997;2017;1;0;2;2;62;1;3;48;30332;25000
997;2017;2;1;2;1;67;0;0;-1;-1;0
999;2017;1;1;2;1;76;0;0;-1;-1;0
394;2017;1;1;2;1;41;1;1;30;5001;-1
394;2017;2;1;2;1;51;1;3;40;82313;20000
394;2017;3;0;2;2;7;0;0;-1;-1;0
394;2017;4;0;2;1;5;0;0;-1;-1;0
394;2017;5;0;2;1;1;0;0;-1;-1;0
125;2017;1;1;2;2;50;1;3;25;10333;11000
125;2017;2;0;2;2;53;1;3;60;80313;20000
125;2017;3;0;2;2;19;0;3;-1;-1;0
125;2017;4;0;2;1;16;0;0;-1;-1;0
1000;2017;1;0;2;1;31;1;3;70;10333;-1
1000;2017;2;1;2;2;30;1;3;25;41332;-1
118;2017;1;1;2;2;77;0;0;-1;-1;0
1002;2017;1;0;2;2;47;1;3;42;53312;24000
242;2017;1;0;2;2;38;1;1;40;5001;35000
242;2017;2;1;2;2;38;0;0;-1;-1;0
242;2017;3;0;2;2;2;0;0;-1;-1;0
1003;2017;1;1;2;2;73;0;0;-1;-1;0
693;2017;1;1;2;2;23;1;2;38;45132;10000
204;2017;1;0;2;2;35;1;2;60;10132;-1
204;2017;2;0;2;2;37;1;3;48;10333;-1
204;2017;3;0;2;2;13;0;0;-1;-1;0
204;2017;4;0;2;2;8;0;0;-1;-1;0
204;2017;5;0;2;2;5;0;0;-1;-1;0
560;2017;1;0;2;2;38;1;3;48;32314;16000
560;2017;2;0;2;1;38;1;3;12;55314;2500
560;2017;3;0;2;2;17;1;3;20;20313;7000
560;2017;4;0;2;1;13;0;0;-1;-1;0
560;2017;5;0;2;2;9;0;0;-1;-1;0
1005;2017;1;0;2;1;41;1;3;48;99997;25000
1005;2017;2;0;2;1;35;0;0;-1;-1;0
1005;2017;3;0;2;1;2;0;0;-1;-1;0
1006;2017;1;0;2;2;46;1;1;9;5002;4000
1006;2017;2;0;2;1;51;1;2;44;72113;15000
1006;2017;3;1;2;2;24;0;0;-1;-1;0
1006;2017;4;0;2;2;8;0;0;-1;-1;0
331;2017;1;0;2;2;43;1;2;32;10113;-1
331;2017;2;1;2;1;40;1;3;45;7001;-1
1008;2017;1;0;2;2;80;1;2;12;80123;10000
1008;2017;2;0;2;1;77;0;0;-1;-1;0
1009;2017;1;0;2;2;47;1;3;40;80313;12000
1009;2017;2;0;2;2;41;1;3;10;55314;5000
1009;2017;3;0;2;1;14;0;0;-1;-1;0
1010;2017;1;1;2;1;27;1;3;40;10333;17000
